Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount
0,10014,2,0,1480000.0,1,22,45,2.5,3067.0,2.0,1.0,1.0,202.0,151.96764988779805,1964.6842169408897,32,-37.7996,144.9984,2,4019.0
0,4668,2,0,1035000.0,1,22,47,2.5,3067.0,2.0,1.0,0.0,156.0,79.0,1900.0,32,-37.8079,144.9934,2,4019.0
0,7729,3,0,1465000.0,3,22,48,2.5,3067.0,3.0,2.0,0.0,134.0,150.0,1900.0,32,-37.8093,144.9944,2,4019.0
0,7083,3,0,850000.0,0,22,48,2.5,3067.0,3.0,2.0,1.0,94.0,151.96764988779805,1964.6842169408897,32,-37.7969,144.9969,2,4019.0
0,8317,4,0,1600000.0,4,145,49,2.5,3067.0,3.0,1.0,2.0,120.0,142.0,2014.0,32,-37.8072,144.9941,2,4019.0
0,1705,2,0,941000.0,1,99,52,2.5,3067.0,2.0,1.0,0.0,181.0,151.96764988779805,1964.6842169408897,32,-37.8041,144.9953,2,4019.0
0,10430,2,0,1636000.0,1,145,56,2.5,3067.0,2.0,1.0,2.0,256.0,107.0,1890.0,32,-37.806,144.9954,2,4019.0
0,8716,1,2,300000.0,1,22,56,2.5,3067.0,1.0,1.0,1.0,0.0,151.96764988779805,1964.6842169408897,32,-37.8008,144.9973,2,4019.0
0,7221,2,2,700000.0,4,99,7,2.5,3067.0,2.0,2.0,1.0,0.0,151.96764988779805,1964.6842169408897,32,-37.811,145.0067,2,4019.0
0,7107,3,0,1350000.0,4,145,7,2.5,3067.0,3.0,2.0,2.0,214.0,190.0,2005.0,32,-37.8085,144.9964,2,4019.0
0,1649,2,2,750000.0,1,22,7,2.5,3067.0,2.0,2.0,1.0,0.0,94.0,2009.0,32,-37.8078,144.9965,2,4019.0
0,7457,2,0,1172500.0,1,22,9,2.5,3067.0,2.0,1.0,1.0,195.0,151.96764988779805,1964.6842169408897,32,-37.8084,144.9973,2,4019.0
0,9337,1,2,441000.0,3,79,10,2.5,3067.0,1.0,1.0,1.0,0.0,151.96764988779805,1964.6842169408897,32,-37.8016,144.9988,2,4019.0
0,2587,2,0,1310000.0,1,99,12,2.5,3067.0,2.0,1.0,2.0,238.0,97.0,1890.0,32,-37.809,144.9976,2,4019.0
0,7248,3,0,1200000.0,1,99,14,2.5,3067.0,3.0,2.0,1.0,113.0,110.0,1880.0,32,-37.8056,144.993,2,4019.0
0,9627,3,0,1176500.0,1,108,14,2.5,3067.0,2.0,1.0,1.0,138.0,105.0,1890.0,32,-37.8021,144.9965,2,4019.0
0,3134,3,0,955000.0,1,45,17,2.5,3067.0,3.0,1.0,0.0,183.0,151.96764988779805,1964.6842169408897,32,-37.8022,144.9975,2,4019.0
0,5736,4,0,1330000.0,0,103,18,2.5,3067.0,4.0,2.0,2.0,780.0,135.0,1900.0,32,-37.8073,144.9952,2,4019.0
0,1880,3,1,900000.0,1,18,18,2.5,3067.0,3.0,2.0,2.0,0.0,151.96764988779805,2010.0,32,-37.8093,144.9959,2,4019.0
0,8171,2,0,1100000.0,0,22,19,2.5,3067.0,2.0,2.0,1.0,124.0,135.0,2013.0,32,-37.8079,144.9977,2,4019.0
0,7660,2,0,1315000.0,1,125,21,2.5,3067.0,2.0,1.0,0.0,147.0,85.0,1900.0,32,-37.808,144.994,2,4019.0
0,7929,1,2,426000.0,3,79,26,2.5,3067.0,1.0,1.0,1.0,0.0,151.96764988779805,1964.6842169408897,32,-37.8016,144.9988,2,4019.0
